Date,Category,Amount,Notes
2026-06-03,Transportation,29.33,Fuel/Commute
2026-06-04,Food,26.69,Daily meals
2026-06-05,Food,36.32,Daily meals
2026-06-05,Transportation,19.98,Fuel/Commute
2026-06-06,Food,56.72,Daily meals
2026-06-06,Transportation,26.87,Fuel/Commute
2026-06-06,Entertainment,108.21,Weekend leisure
2026-06-07,Food,56.84,Daily meals
2026-06-07,Entertainment,66.08,Weekend leisure
2026-06-08,Food,47.23,Daily meals
2026-06-09,Food,32.0,Daily meals
2026-06-10,Food,46.73,Daily meals
2026-06-10,Transportation,14.5,Fuel/Commute
2026-06-11,Food,27.11,Daily meals
2026-06-12,Food,23.49,Daily meals
2026-06-13,Food,45.7,Daily meals
2026-06-13,Transportation,16.61,Fuel/Commute
2026-06-13,Entertainment,40.66,Weekend leisure
2026-06-14,Food,73.93,Daily meals
2026-06-14,Transportation,10.64,Fuel/Commute
2026-06-14,Entertainment,77.16,Weekend leisure
2026-06-15,Food,21.17,Daily meals
2026-06-15,Transportation,19.61,Fuel/Commute
2026-06-16,Food,38.56,Daily meals
2026-06-17,Food,29.88,Daily meals
2026-06-18,Food,26.48,Daily meals
2026-06-19,Food,27.19,Daily meals
2026-06-19,Transportation,29.92,Fuel/Commute
2026-06-20,Food,66.37,Daily meals
2026-06-21,Food,52.5,Daily meals
2026-06-21,Transportation,26.18,Fuel/Commute
2026-06-21,Entertainment,49.23,Weekend leisure
2026-06-22,Food,30.67,Daily meals
2026-06-22,Transportation,17.08,Fuel/Commute
2026-06-23,Food,35.82,Daily meals
2026-06-23,Transportation,17.19,Fuel/Commute
2026-06-24,Food,27.3,Daily meals
2026-06-24,Transportation,23.36,Fuel/Commute
2026-06-25,Food,27.64,Daily meals
2026-06-25,Transportation,14.15,Fuel/Commute
2026-06-26,Food,29.66,Daily meals
2026-06-26,Transportation,14.46,Fuel/Commute
2026-06-27,Food,49.98,Daily meals
2026-06-27,Transportation,27.73,Fuel/Commute
2026-06-27,Entertainment,61.18,Weekend leisure
2026-06-28,Food,72.16,Daily meals
2026-06-28,Entertainment,109.66,Weekend leisure
2026-06-29,Utilities,333.82,Iphone Charger (Converted from $10.00 USD @ 33.38)
